DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-01-02,SBILIFE, EQ,1231.3,1230.0,1247.65,1222.0, 1243.00,1240.05,1232.94,703923,8678.95,29133, 426967, 60.66
2023-01-03,SBILIFE, EQ,1240.05,1244.7,1275.0,1226.4, 1267.55,1268.4,1258.24,1871263,23544.99,69358, 1051677, 56.20
2023-01-04,SBILIFE, EQ,1268.4,1268.35,1282.3,1253.05, 1260.65,1259.05,1270.19,1073081,13630.22,60567, 535042, 49.86
2023-01-05,SBILIFE, EQ,1259.05,1260.65,1274.55,1255.05,1272.0,1267.65,1266.14,878852,11127.53,55984, 529852, 60.29
2023-01-06,SBILIFE, EQ,1267.65,1270.95,1287.35,1266.5,1270.0,1269.05,1277.61,1675874,21411.14,71831, 1086047, 64.80
2023-01-09,SBILIFE, EQ,1269.05,1275.4,1313.9,1271.15,1310.2,1306.35,1295.8,1432882,18567.34,74049, 853555, 59.57
2023-01-10,SBILIFE, EQ,1306.35,1306.35,1313.65,1297.9,1301.3,1302.6,1303.75,1000059,13038.28,72671, 641444, 64.14
2023-01-11,SBILIFE, EQ,1302.6,1309.15,1309.15,1287.35, 1287.70,1291.3,1295.96,652049,8450.31,39765, 376232, 57.70
2023-01-12,SBILIFE, EQ,1291.3,1291.3,1320.0,1291.3, 1316.00,1315.7,1308.03,1377949,18023.95,73178, 875049, 63.50
2023-01-13,SBILIFE, EQ,1315.7,1319.0,1326.0,1306.0,1307.0,1312.95,1316.46,1214977,15994.74,57134, 586183, 48.25
2023-01-16,SBILIFE, EQ,1312.95,1319.55,1322.75,1295.0, 1300.00,1300.9,1305.88,600742,7844.95,33384, 334637, 55.70
2023-01-17,SBILIFE, EQ,1300.9,1304.7,1310.4,1294.5,1299.0,1298.45,1300.54,895667,11648.5,43444, 634964, 70.89
2023-01-18,SBILIFE, EQ,1298.45,1309.0,1322.0,1302.15,1310.0,1310.65,1311.43,1078873,14148.68,66944, 521178, 48.31
2023-01-19,SBILIFE, EQ,1310.65,1313.0,1330.0,1303.6, 1320.50,1323.1,1321.96,1189082,15719.13,81089, 737199, 62.00
2023-01-20,SBILIFE, EQ,1323.1,1324.05,1325.95,1292.35,1296.6,1296.1,1302.46,966855,12592.88,67594, 629823, 65.14
2023-01-23,SBILIFE, EQ,1296.1,1285.0,1318.15,1280.0,1295.7,1295.4,1295.2,1367408,17710.73,76966, 711776, 52.05
2023-01-24,SBILIFE, EQ,1295.4,1296.0,1301.0,1270.2,1272.65,1273.25,1280.1,657428,8415.77,58632, 409386, 62.27
2023-01-25,SBILIFE, EQ,1273.25,1273.2,1278.8,1250.05, 1255.00,1257.45,1257.38,599832,7542.16,41149, 333801, 55.65
2023-01-27,SBILIFE, EQ,1257.45,1263.7,1291.5,1230.0, 1245.05,1250.25,1247.99,1164597,14534.09,94501, 772816, 66.36
2023-01-30,SBILIFE, EQ,1250.25,1222.0,1244.45,1215.6, 1236.35,1233.45,1227.27,1694822,20800.02,89907, 1061174, 62.61
2023-01-31,SBILIFE, EQ,1233.45,1243.7,1243.7,1212.55,1220.0,1219.55,1220.52,1760628,21488.77,93114, 1335513, 75.85
2023-02-01,SBILIFE, EQ,1219.55,1219.55,1228.75,1068.85, 1114.50,1109.4,1136.26,8470232,96243.81,267010, 5263459, 62.14
2023-02-02,SBILIFE, EQ,1109.4,1090.2,1155.0,1088.75, 1111.00,1107.5,1115.88,8566734,95594.18,252076, 5955004, 69.51
2023-02-03,SBILIFE, EQ,1107.5,1115.0,1145.65,1115.0, 1136.50,1138.05,1127.9,4061171,45806.03,195589, 3058009, 75.30
2023-02-06,SBILIFE, EQ,1138.05,1127.2,1146.85,1115.0, 1142.45,1138.4,1131.54,2909587,32923.12,120041, 2024546, 69.58
2023-02-07,SBILIFE, EQ,1138.4,1143.0,1147.85,1124.45, 1135.00,1131.75,1133.46,1741642,19740.73,95552, 1328974, 76.31
2023-02-08,SBILIFE, EQ,1131.75,1140.0,1172.0,1135.15, 1164.20,1164.5,1159.23,3265863,37858.79,144422, 2252322, 68.97
2023-02-09,SBILIFE, EQ,1164.5,1170.6,1185.0,1162.75, 1182.00,1180.45,1176.07,2186484,25714.58,61824, 1385410, 63.36
2023-02-10,SBILIFE, EQ,1180.45,1179.85,1187.5,1167.05, 1181.85,1184.5,1180.12,1655228,19533.62,52557, 1204208, 72.75
2023-02-13,SBILIFE, EQ,1184.5,1180.2,1187.95,1173.05,1178.55,1179.1,1178.07,812659,9573.71,43452, 526414, 64.78
2023-02-14,SBILIFE, EQ,1179.1,1178.0,1181.45,1155.1,1160.9,1161.7,1164.68,990530,11536.54,51030, 579625, 58.52
2023-02-15,SBILIFE, EQ,1161.7,1160.9,1183.85,1150.0, 1177.10,1180.35,1166.81,1243115,14504.76,41663, 666582, 53.62
2023-02-16,SBILIFE, EQ,1180.35,1186.3,1186.3,1169.55, 1174.00,1174.1,1175.31,356750,4192.91,24540, 155896, 43.70
2023-02-17,SBILIFE, EQ,1174.1,1175.6,1175.6,1137.25, 1143.75,1149.7,1152.55,909951,10487.6,36136, 414648, 45.57
2023-02-20,SBILIFE, EQ,1149.7,1144.0,1170.65,1141.15, 1156.65,1158.4,1157.22,488052,5647.85,23371, 191694, 39.28
2023-02-21,SBILIFE, EQ,1158.4,1164.2,1168.0,1144.2, 1148.80,1150.35,1151.39,610755,7032.16,36692, 339415, 55.57
2023-02-22,SBILIFE, EQ,1150.35,1148.9,1148.95,1125.15, 1132.05,1131.15,1131.95,944068,10686.34,44880, 507273, 53.73
2023-02-23,SBILIFE, EQ,1131.15,1136.85,1141.9,1123.85,1137.0,1135.4,1133.55,768179,8707.67,49343, 490741, 63.88
2023-02-24,SBILIFE, EQ,1135.4,1136.1,1142.35,1119.2, 1126.75,1122.05,1129.89,973799,11002.82,35405, 642405, 65.97
2023-02-27,SBILIFE, EQ,1122.05,1122.05,1135.0,1110.45, 1135.00,1129.15,1119.01,987563,11050.97,33124, 542596, 54.94
2023-02-28,SBILIFE, EQ,1129.15,1131.4,1134.9,1109.05, 1116.35,1121.0,1122.58,1219508,13689.93,39260, 816643, 66.96
2023-03-01,SBILIFE, EQ,1121.0,1126.65,1126.65,1108.8, 1122.00,1118.15,1115.5,675500,7535.2,34670, 406382, 60.16
2023-03-02,SBILIFE, EQ,1118.15,1121.7,1123.0,1098.1, 1100.05,1100.15,1107.05,491880,5445.38,30527, 244957, 49.80
2023-03-03,SBILIFE, EQ,1100.15,1100.15,1132.7,1100.15, 1131.00,1129.25,1120.02,922485,10332.02,56786, 498318, 54.02
2023-03-06,SBILIFE, EQ,1129.25,1132.0,1145.95,1125.0, 1132.10,1128.7,1136.45,920574,10461.86,36451, 550242, 59.77
2023-03-08,SBILIFE, EQ,1128.7,1130.0,1141.3,1110.7, 1129.50,1129.2,1124.83,959097,10788.25,42479, 445615, 46.46
2023-03-09,SBILIFE, EQ,1129.2,1129.2,1134.7,1092.0, 1097.50,1096.7,1108.43,1239659,13740.73,50571, 735535, 59.33
2023-03-10,SBILIFE, EQ,1096.7,1093.0,1100.55,1083.95, 1097.00,1095.9,1094.02,893708,9777.3,51962, 505623, 56.58
2023-03-13,SBILIFE, EQ,1095.9,1092.0,1101.4,1066.15, 1077.00,1072.5,1078.3,875379,9439.23,38394, 486042, 55.52
2023-03-14,SBILIFE, EQ,1072.5,1074.8,1092.55,1071.0, 1078.05,1077.1,1080.18,1089923,11773.09,43872, 529927, 48.62
