DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2023-05-12,PVRINOX, EQ,1454.05,1455.0,1457.95,1441.0, 1446.00,1447.1,1447.32,178574,2584.55,8001, 125163, 70.09
2023-05-15,PVRINOX, EQ,1447.1,1449.95,1473.9,1416.3, 1468.50,1465.05,1457.92,724042,10555.96,23538, 387233, 53.48
2023-05-16,PVRINOX, EQ,1465.05,1443.0,1447.95,1403.4,1433.3,1435.15,1426.0,2049045,29219.47,86473, 543984, 26.55
2023-05-17,PVRINOX, EQ,1435.15,1435.0,1443.45,1336.4, 1364.40,1366.6,1371.94,2353752,32292.02,100273, 776234, 32.98
2023-05-18,PVRINOX, EQ,1366.6,1370.0,1387.9,1352.3, 1375.10,1374.45,1372.28,721887,9906.33,28958, 285260, 39.52
2023-05-19,PVRINOX, EQ,1374.45,1384.95,1384.95,1365.0,1373.0,1372.6,1371.25,189521,2598.82,11638, 53266, 28.11
2023-05-22,PVRINOX, EQ,1372.6,1371.55,1371.55,1347.0,1350.0,1348.0,1353.44,486737,6587.68,23933, 215203, 44.21
2023-05-23,PVRINOX, EQ,1348.0,1349.55,1365.05,1341.5, 1343.70,1349.9,1355.37,695683,9429.08,21266, 381304, 54.81
2023-05-24,PVRINOX, EQ,1349.9,1350.0,1369.95,1346.8, 1365.00,1365.55,1359.91,503323,6844.75,23620, 261786, 52.01
2023-05-25,PVRINOX, EQ,1365.55,1369.95,1369.95,1356.0, 1357.00,1361.3,1362.28,201762,2748.56,13452, 86872, 43.06
2023-05-26,PVRINOX, EQ,1361.3,1352.55,1407.5,1352.55,1406.0,1404.45,1387.53,782615,10859.04,36226, 350489, 44.78
2023-05-29,PVRINOX, EQ,1404.45,1421.0,1421.25,1392.1, 1395.60,1398.35,1401.19,235434,3298.87,19232, 98560, 41.86
2023-05-30,PVRINOX, EQ,1398.35,1398.0,1420.0,1393.0, 1414.00,1415.8,1413.48,378678,5352.56,32329, 230708, 60.92
2023-05-31,PVRINOX, EQ,1415.8,1415.8,1421.95,1408.0, 1412.95,1415.35,1413.79,393786,5567.32,17601, 298379, 75.77
2023-06-01,PVRINOX, EQ,1415.35,1422.0,1424.85,1411.95, 1413.05,1416.2,1417.47,246275,3490.88,15010, 147875, 60.04
2023-06-02,PVRINOX, EQ,1416.2,1416.25,1420.3,1395.85, 1402.25,1399.9,1401.74,387978,5438.45,28157, 240345, 61.95
2023-06-05,PVRINOX, EQ,1399.9,1408.05,1443.5,1408.05, 1429.00,1430.7,1431.78,907532,12993.86,39512, 450518, 49.64
2023-06-06,PVRINOX, EQ,1430.7,1435.0,1451.0,1426.9,1450.0,1449.05,1439.91,446228,6425.29,18673, 261596, 58.62
2023-06-07,PVRINOX, EQ,1449.05,1451.0,1458.5,1440.6, 1441.45,1442.95,1449.62,314283,4555.9,18682, 173001, 55.05
2023-06-08,PVRINOX, EQ,1442.95,1444.5,1445.25,1424.0, 1430.00,1429.5,1434.34,197707,2835.8,12242, 81480, 41.21
2023-06-09,PVRINOX, EQ,1429.5,1430.0,1436.5,1407.0, 1408.00,1414.35,1421.85,334934,4762.26,17868, 166016, 49.57
2023-06-12,PVRINOX, EQ,1414.35,1430.95,1447.45,1416.75, 1443.35,1441.25,1437.02,603346,8670.22,25064, 290984, 48.23
2023-06-13,PVRINOX, EQ,1441.25,1455.95,1465.0,1441.0, 1448.00,1446.95,1451.49,328543,4768.77,14713, 110727, 33.70
2023-06-14,PVRINOX, EQ,1446.95,1457.0,1463.15,1445.8, 1460.50,1456.85,1455.71,349079,5081.59,17762, 175234, 50.20
2023-06-15,PVRINOX, EQ,1456.85,1470.0,1509.0,1465.5, 1499.00,1498.8,1492.32,1315471,19631.02,57838, 434146, 33.00
2023-06-16,PVRINOX, EQ,1498.8,1509.95,1516.8,1445.0, 1448.00,1450.95,1481.25,1121757,16615.99,52617, 411627, 36.69
2023-06-19,PVRINOX, EQ,1450.95,1452.0,1455.9,1414.6, 1424.00,1422.95,1431.92,732131,10483.5,29802, 178849, 24.43
